Image	Object ID	Object type	Name	Classification	Parent	ROI	Centroid X px	Centroid Y px
ThinONL1.png	88d2ec2d-394b-4ad2-b16c-7c854e81138d	Detection			ThinONL1	Ellipse	433.5	231.5
ThinONL1.png	88ebd05c-6785-4128-86e0-6095a4b1b301	Detection			ThinONL1	Ellipse	463.5	230.5
ThinONL1.png	65e3701d-30da-49a2-b31c-e1dd6fe0544c	Detection			ThinONL1	Ellipse	1802.5	229.5
ThinONL1.png	ae1e363d-202f-445c-9123-ba480c0f234f	Detection			ThinONL1	Ellipse	564.5	229.5
ThinONL1.png	f32ba7ae-7b55-428e-99cd-0b5d2f96eeac	Detection			ThinONL1	Ellipse	346.5	228.5
ThinONL1.png	d0215625-d85f-43d8-8b80-d7365a47e96b	Detection			ThinONL1	Ellipse	535.5	227.5
ThinONL1.png	53c2c5c3-274e-44a6-85ee-8e7c41f4b633	Detection			ThinONL1	Ellipse	493.5	226.5
ThinONL1.png	c77ceed6-956e-4612-9770-49cc50f75fd8	Detection			ThinONL1	Ellipse	481.5	226.5
ThinONL1.png	06174f1c-a33b-4f34-aaa2-ddd56e50b91d	Detection			ThinONL1	Ellipse	415.5	223.5
ThinONL1.png	2ce36069-23cf-4627-bcd2-44988e30e801	Detection			ThinONL1	Ellipse	1826.5	221.5
ThinONL1.png	67350829-8d16-43ec-b75c-93ba5d2afead	Detection			ThinONL1	Ellipse	547.5	221.5
ThinONL1.png	0e1ccfce-32aa-4fef-ad7e-105b1d3b6f81	Detection			ThinONL1	Ellipse	661.5	218.5
ThinONL1.png	f49b3858-7d91-4cda-9306-9fe5b53d58b9	Detection			ThinONL1	Ellipse	585.5	218.5
ThinONL1.png	a800036c-d14d-4b4f-b651-51957296f5d2	Detection			ThinONL1	Ellipse	634.5	216.5
ThinONL1.png	23111a85-0f1b-4e19-9f82-065445218d0a	Detection			ThinONL1	Ellipse	600.5	216.5
ThinONL1.png	506ff0e7-ab04-4556-8eac-31389b945cd8	Detection			ThinONL1	Ellipse	450.5	215.5
ThinONL1.png	d94dd788-9526-44c8-a2a5-21292aed3357	Detection			ThinONL1	Ellipse	425.5	215.5
ThinONL1.png	87013c9a-447a-46d7-a067-19788e8bcf86	Detection			ThinONL1	Ellipse	569.5	214.5
ThinONL1.png	5f579675-f5d8-4ea6-b026-1a3f392fb06a	Detection			ThinONL1	Ellipse	520.5	214.5
ThinONL1.png	b63ad1cd-20e0-4dac-9c22-4f15395b2db2	Detection			ThinONL1	Ellipse	510.5	213.5
ThinONL1.png	dfb44242-0b7f-41f3-a400-fb96bbaf972e	Detection			ThinONL1	Ellipse	694.5	212.5
ThinONL1.png	5bd04808-b594-4950-8399-5accc3cb588d	Detection			ThinONL1	Ellipse	1786.5	211.5
ThinONL1.png	8b385d3f-f2d4-4892-b735-3334cc33f85f	Detection			ThinONL1	Ellipse	625.5	210.5
ThinONL1.png	fbe5f1d6-a4f4-4054-9113-1c9dec52d78b	Detection			ThinONL1	Ellipse	1519.5	209.5
ThinONL1.png	525a6ab1-61c6-4650-a4bb-3b3a3cf09ed6	Detection			ThinONL1	Ellipse	681.5	209.5
ThinONL1.png	dbfad340-0ee1-473f-9365-66c812869cf5	Detection			ThinONL1	Ellipse	553.5	208.5
ThinONL1.png	16d1dd51-c846-4ac7-840d-0c5115b51df4	Detection			ThinONL1	Ellipse	1731.5	207.5
ThinONL1.png	0a554184-ce16-4def-9b9e-a23a41c23eb3	Detection			ThinONL1	Ellipse	1757.5	206.5
ThinONL1.png	cd265784-8d09-47a5-a051-ca3bb417c9ed	Detection			ThinONL1	Ellipse	536.5	206.5
ThinONL1.png	61d2a161-7b45-42de-8c07-7060f742000b	Detection			ThinONL1	Ellipse	1773.5	205.5
ThinONL1.png	30deb72a-dd5c-4820-ad21-171adb07e279	Detection			ThinONL1	Ellipse	799.5	205.5
ThinONL1.png	1b93051d-a325-4273-ad3b-85bd4dd4fadf	Detection			ThinONL1	Ellipse	1541.5	204.5
ThinONL1.png	b6cde690-044b-463c-91b9-12d2a12f8dde	Detection			ThinONL1	Ellipse	714.5	204.5
ThinONL1.png	7c89b7b7-a6a9-4148-bc3c-224fd32c0d39	Detection			ThinONL1	Ellipse	495.5	204.5
ThinONL1.png	28791970-426e-449d-aa9b-37e4c2e748b5	Detection			ThinONL1	Ellipse	472.5	204.5
ThinONL1.png	6c263f0f-f5a3-4ac8-9412-cd849df58d18	Detection			ThinONL1	Ellipse	1812.5	202.5
ThinONL1.png	9628a9e2-9bef-4768-b85a-581792f14ab5	Detection			ThinONL1	Ellipse	968.5	202.5
ThinONL1.png	fba74cb9-4ccd-4bba-b19a-c90dbf141785	Detection			ThinONL1	Ellipse	785.5	202.5
ThinONL1.png	b1e360c0-25e3-446b-b2e5-79446c99615f	Detection			ThinONL1	Ellipse	645.5	202.5
ThinONL1.png	6ceea524-2ff0-4c51-8ea4-7d00e07b2465	Detection			ThinONL1	Ellipse	529.5	202.5
ThinONL1.png	c8472185-478d-4518-8d73-98112dbf6e63	Detection			ThinONL1	Ellipse	578.5	201.5
ThinONL1.png	01d4a643-003c-4fa7-b9c7-1183e5dc112d	Detection			ThinONL1	Ellipse	821.5	200.5
ThinONL1.png	3b336441-22d1-44d1-b9f5-2c83c32f0f20	Detection			ThinONL1	Ellipse	768.5	200.5
